longitude_deg,longitude_min,latitude_deg,latitude_min,speed,bearing_deg
-83,-43.74265195,42,16.55195345,0.000296405,326.8881423
-83,-43.74265231,42,16.55195264,0.000308298,326.8881423
-83,-43.74265279,42,16.55195184,0.000320522,324.9814458
-83,-43.74265326,42,16.55195106,0.00033295,324.9814458
-83,-43.74265371,42,16.55195031,0.000345577,324.4658046
-83,-43.74265416,42,16.55194957,0.000358401,324.4658046
-83,-43.74265459,42,16.55194884,0.000371418,324.1727258
-83,-43.74265502,42,16.55194814,0.000384627,324.1727258
-83,-43.74265543,42,16.55194745,0.000398024,325.4434958
-83,-43.74265583,42,16.55194678,0.000411608,325.4434958
-83,-43.74265623,42,16.55194612,0.000425377,327.5868924
-83,-43.74265661,42,16.55194559,0.000437046,327.5868924
-83,-43.74265699,42,16.55194508,0.000448877,327.5868924
-83,-43.74265736,42,16.55194457,0.00046087,323.5513379
-83,-43.74265772,42,16.55194408,0.000473023,323.5513379
-83,-43.74265807,42,16.55194359,0.000485335,328.2373269
-83,-43.74265842,42,16.55194312,0.000497804,328.2373269
-83,-43.74265876,42,16.55194266,0.000510429,324.0215397
-83,-43.74265909,42,16.5519422,0.00052321,324.0215397
-83,-43.74265941,42,16.55194197,0.000530774,326.4798298
-83,-43.74265973,42,16.55194174,0.000538456,326.4798298
-83,-43.74266004,42,16.55194151,0.000546255,326.6804684
-83,-43.74266035,42,16.55194129,0.000554172,326.6804684
-83,-43.74266065,42,16.55194107,0.000562205,325.9382812
-83,-43.74266094,42,16.55194086,0.000570353,325.9382812
-83,-43.74266123,42,16.55194065,0.000578617,325.1347082
-83,-43.74266151,42,16.55194045,0.000586996,325.1347082
-83,-43.74266179,42,16.55194024,0.000595488,326.0847637
-83,-43.74266226,42,16.55193976,0.000615134,326.0847637
-83,-43.74266271,42,16.55193928,0.000635019,324.5217417
-83,-43.74266316,42,16.55193882,0.000655141,324.5217417
-83,-43.7426636,42,16.55193836,0.000675496,328.1639247
-83,-43.74266403,42,16.5519379,0.000696081,328.1639247
-83,-43.74266445,42,16.55193746,0.000716893,328.1639247
-83,-43.74266487,42,16.55193703,0.00073793,327.0674127
-83,-43.74266528,42,16.5519366,0.000759188,327.0674127
-83,-43.74266568,42,16.551936,0.000787794,324.3992521
-83,-43.74266607,42,16.55193541,0.000816654,324.3992521
-83,-43.74266646,42,16.55193483,0.000845769,328.7300805
