# lat_deg,lat_min,long_deg,long_min,bearing,speed
42,16.59599982,-83,-44.29199942,111.5542301,0.00582103
42,16.59599981,-83,-44.29199939,110.4184757,0.0059675
42,16.59599981,-83,-44.29199936,111.1545822,0.00611633
42,16.5959998,-83,-44.29199933,110.847352,0.0062656
42,16.59599978,-83,-44.29199927,110.1025879,0.00656365
42,16.59599977,-83,-44.29199924,109.1929941,0.00671332
42,16.59599976,-83,-44.2919992,109.5387503,0.00686281
42,16.59599976,-83,-44.29199917,108.3434667,0.00701174
42,16.59599975,-83,-44.29199913,107.300804,0.00715936
42,16.59599974,-83,-44.2919991,106.2846884,0.00730607
42,16.59599972,-83,-44.29199902,106.3466806,0.00760359
42,16.59599971,-83,-44.29199898,106.6662457,0.0077524
42,16.59599971,-83,-44.29199894,106.3779936,0.00790151
42,16.5959997,-83,-44.2919989,105.4162628,0.00805102
42,16.59599969,-83,-44.29199886,104.4245928,0.00820025
42,16.59599968,-83,-44.29199878,103.989516,0.0084962
42,16.59599967,-83,-44.29199874,102.9281223,0.00864233
42,16.59599966,-83,-44.29199869,101.650728,0.00878932
42,16.59599966,-83,-44.29199865,100.3701837,0.00893762
42,16.59599965,-83,-44.2919986,99.73067242,0.00908591
42,16.59599965,-83,-44.29199855,99.63344307,0.00923428
42,16.59599963,-83,-44.29199846,98.63545912,0.00953152
42,16.59599963,-83,-44.29199841,99.35919082,0.00968004
42,16.59599962,-83,-44.29199836,99.52249346,0.00982812
42,16.59599962,-83,-44.29199831,98.66383982,0.00997591
42,16.59599961,-83,-44.29199826,99.87153099,0.01012276
42,16.5959996,-83,-44.29199815,100.2315361,0.010418
42,16.59599959,-83,-44.2919981,101.3046618,0.01056476
42,16.59599958,-83,-44.29199804,100.2227744,0.01071152
42,16.59599957,-83,-44.29199799,100.3339385,0.01085957
42,16.59599956,-83,-44.29199793,101.0818583,0.01100837
42,16.59599956,-83,-44.29199788,102.2143699,0.01115758
42,16.59599954,-83,-44.29199776,102.5019317,0.01145532
42,16.59599953,-83,-44.29199771,101.9359651,0.01160473
42,16.59599952,-83,-44.29199765,102.0228034,0.01175342
42,16.59599951,-83,-44.29199759,101.4825577,0.01190195
42,16.5959995,-83,-44.29199753,102.3141804,0.0120499
42,16.59599948,-83,-44.2919974,102.4339814,0.01234264
42,16.59599947,-83,-44.29199734,101.2492438,0.01248913
42,16.59599946,-83,-44.29199728,101.0778989,0.01263574
42,16.59599945,-83,-44.29199721,101.2038756,0.01278261
42,16.59599944,-83,-44.29199715,101.1949091,0.01293076
42,16.59599943,-83,-44.29199708,100.5500894,0.0130798
42,16.59599942,-83,-44.29199695,99.86417797,0.01337783
42,16.59599941,-83,-44.29199688,98.5585929,0.01352661
42,16.5959994,-83,-44.29199681,97.19528893,0.01367542
42,16.5959994,-83,-44.29199674,98.62261719,0.0138236
42,16.59599939,-83,-44.29199667,97.45092157,0.01397044
42,16.59599938,-83,-44.29199652,96.61814796,0.01426253
42,16.59599937,-83,-44.29199645,95.33815411,0.01441026
42,16.59599937,-83,-44.29199638,95.37245224,0.01455836
42,16.59599936,-83,-44.2919963,96.63453834,0.01470626
42,16.59599935,-83,-44.29199623,96.82854442,0.01485379
42,16.59599935,-83,-44.29199615,97.52837994,0.0150016
42,16.59599933,-83,-44.29199599,98.41811614,0.0152973
42,16.59599932,-83,-44.29199591,99.2243466,0.01544477
42,16.59599931,-83,-44.29199583,98.14927876,0.01559236
42,16.59599931,-83,-44.29199575,97.11199547,0.01574008
42,16.5959993,-83,-44.29199567,95.99609661,0.01588647
42,16.59599928,-83,-44.2919955,97.83173089,0.01618005
42,16.59599928,-83,-44.29199542,97.52506713,0.01632762
42,16.59599927,-83,-44.29199533,96.60582029,0.01647438
42,16.59599926,-83,-44.29199525,97.6398248,0.01662063
42,16.59599925,-83,-44.29199516,96.37437075,0.01676608
42,16.59599924,-83,-44.29199507,97.51408825,0.01691146
42,16.59599923,-83,-44.2919949,95.91476741,0.01720115
42,16.59599922,-83,-44.29199481,95.21280712,0.01734595
42,16.59599922,-83,-44.29199472,96.24527841,0.01749287
42,16.59599921,-83,-44.29199463,96.04104855,0.01764151
42,16.5959992,-83,-44.29199454,95.61627398,0.01779052
42,16.59599919,-83,-44.29199435,95.33523534,0.0180875
