lat_deg,lat_min,long_deg,long_min,bearing,speed
42,16.5958547,-83,-44.29204238,102.1111282,0.002671345
42,16.59585135,-83,-44.29203772,100.6370783,0.002595635
42,16.5958481,-83,-44.29203318,100.6370783,0.002520673
42,16.59584494,-83,-44.29202877,100.6370783,0.002446703
42,16.59584186,-83,-44.29202448,100.6370783,0.002373999
42,16.59583886,-83,-44.2920203,100.6370783,0.002302872
42,16.59585107,-83,-44.2920239,100.8481472,0.002364842
42,16.59586297,-83,-44.2920274,100.8481472,0.002468602
42,16.59587456,-83,-44.29203082,100.8481472,0.002610674
42,16.59588587,-83,-44.29203416,100.8481472,0.002786624
42,16.59588196,-83,-44.29204853,99.60700232,0.003042357
42,16.59587815,-83,-44.29206256,99.60700232,0.003316032
42,16.59587443,-83,-44.29207625,99.60700232,0.003604696
42,16.59587079,-83,-44.29208961,99.60700232,0.003906081
42,16.59587513,-83,-44.29209552,98.17338949,0.00407872
42,16.59587936,-83,-44.29210129,98.17338949,0.004256834
42,16.5958835,-83,-44.29210692,98.17338949,0.004440101
42,16.59588755,-83,-44.29211243,98.17338949,0.004628234
42,16.5958915,-83,-44.29211782,98.17338949,0.004820975
42,16.59588631,-83,-44.29212403,97.58727234,0.004946523
42,16.59588123,-83,-44.29213011,97.58727234,0.005086161
42,16.59587626,-83,-44.29213606,97.58727234,0.005239242
42,16.5958714,-83,-44.29214188,97.58727234,0.00540509
42,16.59586664,-83,-44.29214758,97.58727234,0.005583021
42,16.59586788,-83,-44.29213205,98.38765955,0.00503637
42,16.59586909,-83,-44.29211683,98.38765955,0.004486208
42,16.59587028,-83,-44.29210193,98.38765955,0.00393342
42,16.59587145,-83,-44.29208733,98.38765955,0.00337947
42,16.59587975,-83,-44.29208776,99.04262137,0.003492426
42,16.59588788,-83,-44.29208819,99.04262137,0.003658912
42,16.59589586,-83,-44.2920886,99.04262137,0.003873487
42,16.59590369,-83,-44.29208901,99.04262137,0.004130033
42,16.59590662,-83,-44.29207838,95.96174104,0.003858724
42,16.5959095,-83,-44.29206795,95.96174104,0.003637167
42,16.59591232,-83,-44.29205771,95.96174104,0.003476908
42,16.5959151,-83,-44.29204766,95.96174104,0.003388733
42,16.59592047,-83,-44.29205439,94.88395138,0.003864193
42,16.59592575,-83,-44.292061,94.88395138,0.004348021
42,16.59593094,-83,-44.2920675,94.88395138,0.004838978
42,16.59593604,-83,-44.29207388,94.88395138,0.005336249
42,16.59594104,-83,-44.29208016,94.88395138,0.005839279
42,16.59593782,-83,-44.29209052,97.77114548,0.005983781
42,16.59593465,-83,-44.29210071,97.77114548,0.00619355
42,16.59593153,-83,-44.29211072,97.77114548,0.006463747
42,16.59592846,-83,-44.29212057,97.77114548,0.006788604
42,16.59593188,-83,-44.29211342,96.86616393,0.006600497
42,16.59593524,-83,-44.29210639,96.86616393,0.006450949
42,16.59593854,-83,-44.29209947,96.86616393,0.006343738
42,16.5959418,-83,-44.29209266,96.86616393,0.006282091
42,16.59594607,-83,-44.29209148,93.25317358,0.006560096
42,16.59595028,-83,-44.29209031,93.25317358,0.006853186
42,16.59595443,-83,-44.29208917,93.25317358,0.007159995
42,16.59595851,-83,-44.29208805,93.25317358,0.007479302
42,16.59595448,-83,-44.29209147,98.26098816,0.00723667
42,16.59595052,-83,-44.29209484,98.26098816,0.007018708
42,16.59594662,-83,-44.29209817,98.26098816,0.006828525
42,16.59594277,-83,-44.29210144,98.26098816,0.006669257
42,16.59595099,-83,-44.29211007,101.3727226,0.0078336
42,16.5959591,-83,-44.29211857,101.3727226,0.009006122
42,16.59596709,-83,-44.29212695,101.3727226,0.010186568
42,16.59597497,-83,-44.29213521,101.3727226,0.011374766
42,16.59598274,-83,-44.29214336,101.3727226,0.012570586
42,16.59598195,-83,-44.29213786,98.6241158,0.012164445
42,16.59598116,-83,-44.29213244,98.6241158,0.011765194
42,16.59598039,-83,-44.2921271,98.6241158,0.011374029
42,16.59597963,-83,-44.29212182,98.6241158,0.010992299
42,16.59597836,-83,-44.29211884,100.3420781,0.01067752
42,16.5959771,-83,-44.2921159,100.3420781,0.0103633
42,16.59597586,-83,-44.29211299,100.3420781,0.010049927
42,16.59597463,-83,-44.29211013,100.3420781,0.009737727
42,16.59597427,-83,-44.29210925,102.0956422,0.009638185
42,16.59597392,-83,-44.29210838,102.0956422,0.009538386
42,16.59597358,-83,-44.29210752,102.0956422,0.009438351
42,16.59597323,-83,-44.29210668,102.0956422,0.0093381
42,16.5959729,-83,-44.29210584,102.0956422,0.009237657
42,16.59597738,-83,-44.29209894,99.17962245,0.00954914
42,16.59598181,-83,-44.29209211,99.17962245,0.009973295
42,16.59598619,-83,-44.29208537,99.17962245,0.010498223
42,16.59599052,-83,-44.2920787,99.17962245,0.011111285
